wallet_address,tokens_traded,early_adoptions,ultra_early_discoveries,first_hour_discoveries,avg_discovery_score,avg_trader_rank,top10_discoveries,first_discoveries,connected_wallets,lead_ratio,avg_synchronicity_score,sync_trades_5min,avg_minutes_after_launch,total_connections,discovery_ability_score,influence_score,independence_score,reaction_speed_score,network_influence_score,independent_decision_ratio,network_role,source_file
0xa883710b6dbf008a1cc25722c54583e35884a209,19,828,0,207,42.10526315789474,22.789473684210527,4,1,207,0.7650405627494288,20.193236714975846,19.0,41049.0,3933,40,29.34451055155179,11,1,27.10335316546554,0.7980676328502415,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x5884b2faa9ad6f38010831e2290e515af17a7d47,203,2090,0,627,34.48275862068966,9.049261083743842,147,18,209,0.7494778256458462,20.19138755980861,7308.0,51555.77832512315,42427,40,29.052709230859616,11,1,27.015812769257884,0.798086124401914,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x5cb7c577300277f6ddc4e686a12823a1de6d26fa,146,4180,0,627,43.24324324324324,8.02027027027027,116,32,209,0.7120657887614029,20.0,2072.0,38426.9527027027,30932,40,28.351233539276304,12,1,27.00537006178289,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x97b2bb85d797add22dabda43eda8570091ed4b03,66,2508,836,1463,43.03030303030303,13.227272727272728,41,12,209,0.7086585927317659,20.0,2904.0,43932.77272727273,13794,40,28.28734861372061,12,1,26.98620458411618,0.8,Alpha Leader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x7bd7cae2d2ac926fda8fe0a7ed98e852e2b48730,382,4598,1254,1254,36.80628272251309,5.594240837696336,333,84,209,0.6963627527280982,20.0,7640.0,44446.03664921466,79838,40,28.05680161365184,12,1,26.91704048409555,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x42cb97c2695cf6227c3a1323a1942089abc9716b,45,630,0,210,33.77777777777778,17.4,13,3,210,0.7223333577801107,20.38095238095238,405.0,58963.42222222222,9450,40,28.54375045837708,11,1,26.863125137513123,0.7961904761904762,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x8e90675e889fcf027d47b04d859aa537f7052626,188,5643,0,1045,40.6282722513089,8.083769633507853,141,46,209,0.6862621195491949,20.0,4011.0,44812.30890052356,39919,40,27.867414741547407,12,1,26.86022442246422,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x832bc12fd9889cd08f30e091f94af4688061865a,32,1236,206,824,43.125,15.28125,19,5,206,0.6849486333465412,20.0,288.0,46130.0,6592,40,27.842786875247647,12,1,26.85283606257429,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x1b9fcb24c533839dc847235bd8eb80e37ec42f85,180,4368,208,416,35.22222222222222,8.733333333333333,137,33,208,0.6818060532273346,20.28846153846154,4320.0,56149.67222222222,37440,40,27.78386349801252,12,1,26.83515904940376,0.7971153846153846,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x731461b70ad0f00422e0f2b2cf7daa3640bc61c4,220,4992,0,416,41.35746606334842,5.909502262443439,193,57,208,0.7685042222511361,20.192307692307693,5746.0,40641.03167420814,45968,38,29.4094541672088,13,1,26.722836250162644,0.7980769230769231,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xd969f14a8ea597c5ca6f583e3cfe203636e18bb1,202,2508,836,836,36.73267326732673,8.514851485148515,153,35,209,0.6579435758300818,20.0,4444.0,46382.16831683168,42218,40,27.336442046814035,12,1,26.700932614044213,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x052ecfff1158fa78706d9709c8ddf36744369245,24,618,0,206,32.5,20.541666666666668,6,1,206,0.727257937427127,20.58252427184466,48.0,66757.0,4944,40,28.63608632675863,10,1,26.69082589802759,0.7941747572815534,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x64b870e5e1fecd557d4c2cd7896ee7f5a668e5b0,60,1045,0,209,37.66666666666666,15.066666666666666,30,1,209,0.7001071241267761,20.0,1260.0,50637.16666666666,12540,40,28.12700857737705,10,1,26.53810257321312,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x04b89dbce06e7aa2f4bba78969add4576eb94788,122,2310,0,420,36.39344262295082,12.12295081967213,73,12,210,0.6522551228946682,20.0,488.0,47640.2868852459,25620,40,27.22978355427503,11,1,26.46893506628251,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x4dfae204a53e4d10e842a7eb2e7ad4931c3abe5b,108,2090,209,418,41.48148148148148,11.537037037037036,73,11,209,0.6397908247512629,20.0,3780.0,39982.7962962963,22572,40,26.99607796408618,11,1,26.398823389225853,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x3a00d5294446b8af67ca03892a9550349b27351d,13,624,0,416,36.92307692307692,42.38461538461539,3,0,208,0.6108026722209416,20.192307692307693,195.0,67507.53846153847,2704,40,26.452550104142656,10,1,26.0357650312428,0.7980769230769231,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x1a9f2d2a11654282360683aee55a2acad681832d,86,1248,0,208,35.348837209302324,15.267441860465116,48,1,208,0.6026127692009334,20.28846153846154,1634.0,52336.29069767442,17888,40,26.2989894225175,10,1,25.98969682675525,0.7971153846153846,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x7f7e2f02d7125f9ad99d1dcedb99d01e1f29d9cd,15,800,0,600,50.66666666666666,19.266666666666666,11,6,200,0.5084107142857146,20.0,0.0,29944.33333333333,3000,40,20.0,14,1,24.9,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xde40b9ea63148965f9fe737f8f8b6fbc09d7c615,94,1672,0,627,44.680851063829785,12.77659574468085,64,17,209,0.5671460292520069,20.0,3384.0,33138.68085106383,19646,40,20.0,12,1,24.5,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x5afec0de001999766fb883860cae06f5932e6f32,13,203,203,203,38.46153846153846,23.153846153846157,8,3,203,0.5123015873015871,20.0,0.0,45690.38461538462,2639,40,20.0,12,1,24.5,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xb040cc5ba746ebda82ab82294dc01d455cd9c0a5,13,416,0,208,46.15384615384615,44.15384615384615,6,2,208,0.4565557706182706,20.0,0.0,45987.38461538462,2704,40,20.0,12,1,24.5,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x5acf4e865604ab620fb84acc047b990f2d2856fd,86,1863,0,207,44.54545454545455,7.886363636363637,76,15,207,0.5844042998729342,20.0,264.0,21831.28409090909,18216,40,20.0,12,1,24.5,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x00a06cf509dcf73fa366d25c65489c0097dbac05,38,1212,0,202,43.1578947368421,14.86842105263158,25,6,202,0.4492635953978643,20.0,76.0,30231.63157894737,7676,40,20.0,12,1,24.5,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x6d42aab8b4efd1ad0c5454a040b59ae3c99440b5,81,1248,0,416,41.16279069767442,9.72093023255814,64,18,208,0.5686657827262606,20.0,774.0,47128.17441860465,17888,40,20.0,12,1,24.5,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xa323f6472876f22d78dd5ae347fc460dc3e6d1a2,384,2090,0,627,31.376623376623375,4.5532467532467535,343,146,209,0.7503470060824693,20.0,9240.0,55318.0025974026,80465,32,29.0690063640463,14,1,24.420701909213893,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x26ce7c1976c5eec83ea6ac22d83cb341b08850af,76,1680,210,630,35.0,18.75,42,10,210,0.4339180914776089,20.0,912.0,52370.07894736842,15960,40,20.0,11,1,24.3,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xba15e9b644685cb845af18a738abd40c6bcd78ed,50,1045,0,209,40.3921568627451,13.31372549019608,38,7,209,0.5580283214069341,20.0,0.0,48803.098039215685,10659,40,20.0,11,1,24.3,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x7944e84d18803f926743fa56fb7a9bb9ba5f5f24,8,203,0,203,42.5,38.375,4,1,203,0.3687074829931973,20.0,80.0,42700.625,1624,40,20.0,11,1,24.3,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x04c62b449056d592474830d647d25451ee9c5f40,87,2288,416,624,38.85057471264368,14.275862068965518,60,10,208,0.5353084824752335,20.0,3567.0,46569.14942528736,18096,40,20.0,11,1,24.3,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xe999c0a515cd1679d20c0c216ceb46e981c7073a,49,627,0,209,37.142857142857146,19.918367346938776,24,6,209,0.430047638999582,20.0,343.0,51236.89795918368,10241,40,20.0,11,1,24.3,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xce8a3b66c5509e7be0f65485f95b69159da870e4,49,627,209,627,36.326530612244895,14.653061224489797,33,5,209,0.5066782393582883,20.0,196.0,52561.63265306123,10241,40,20.0,11,1,24.3,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xb7ab1de5b259a880c4bb5451bdbe6f80f3798538,61,1254,0,418,39.34426229508197,16.639344262295083,36,6,209,0.524332063185605,20.19138755980861,183.0,43917.11475409836,12749,40,20.0,11,1,24.3,0.798086124401914,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xa509cae29c94cf76a4698859d4c6b862b920ea96,68,1254,209,209,37.35294117647059,16.985294117647058,34,6,209,0.506756500962937,20.0,1020.0,51277.23529411765,14212,40,20.0,11,1,24.3,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x7c0f8a684c42ac83ce65a59e89ef5a295932c922,65,1664,208,416,39.38461538461539,15.415384615384616,35,6,208,0.5637171527746271,20.0,780.0,49381.276923076926,13520,40,20.0,11,1,24.3,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x90b1c35ac4ccf24a7596c8f80da0078f46be195b,72,1672,0,418,38.333333333333336,17.041666666666668,40,9,209,0.4622699795775706,20.0,936.0,47031.27777777778,15048,40,20.0,11,1,24.3,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xafd8cd311c7bf2635573ebebb97c1a3c7e90f00e,77,624,0,416,32.467532467532465,18.662337662337663,33,1,208,0.5603691773682694,20.0,1309.0,62466.454545454544,16016,40,20.0,10,1,24.1,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x910cb5a80c20d00345a2b00de6117e837cde584b,48,420,0,420,27.916666666666668,22.08333333333333,22,1,210,0.5792795295362675,20.19047619047619,768.0,78181.0,10080,40,20.0,10,1,24.1,0.7980952380952381,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xde11da1a95a6071d4470e672fdef10fb1e4b0660,38,840,0,420,32.63157894736842,23.657894736842103,19,0,210,0.5730376258203206,20.0,836.0,70822.86842105263,7980,40,20.0,10,1,24.1,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x31a256e01900f93831361df928eb32f83a6af40e,11,400,200,400,36.66666666666666,39.5,7,5,200,0.0385238095238095,20.0,0.0,55547.333333333336,2400,40,10.0,15,1,22.1,0.8,Follower,SmartMoney_NetworkAnalysis_90d_e1.csv
0xe4c8f205aa7a53a3479429913be832294d47297a,8,412,0,206,40.0,54.125,5,2,206,0.2156148867313915,20.0,0.0,69795.875,1648,40,10.0,13,1,21.700000000000003,0.8,Follower,SmartMoney_NetworkAnalysis_90d_e1.csv
0xcb2ed83402408d32441bfaef2167393f31e8574c,254,2508,0,418,32.99212598425197,9.433070866141732,183,38,209,0.5395172968786379,20.19138755980861,5588.0,55716.72834645669,53086,32,20.0,11,1,21.1,0.798086124401914,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x1ed2584074b802929c7d94ca43459ac9b074141d,1,0,0,0,60.0,1.0,1,1,12,1.0,20.0,0.0,1927.0,12,0,30.0,20,1,13.1,0.8,Inactive,SmartMoney_NetworkAnalysis_90d_e1.csv
0x50fc9731dace42caa45d166bff404bbb7464bf21,2,384,0,0,80.0,23.5,1,1,192,0.7708333333333334,22.5,2.0,1132.0,384,0,29.453125,15,3,12.1359375,0.775,Inactive,SmartMoney_NetworkAnalysis_90d_e1.csv
0xae317afa99c5d85afc79ca5c54556d146b8be7bb,2,0,0,0,50.0,27.5,1,1,192,0.7395833333333334,20.52083333333333,0.0,15650.0,384,0,28.8671875,15,1,11.76015625,0.7947916666666667,Inactive,SmartMoney_NetworkAnalysis_90d_e1.csv
0xfe940bfe535013a52e8e2df9644f95e3c94fa14b,3,192,0,0,53.333333333333336,15.666666666666666,1,1,192,0.8177083333333334,21.77083333333333,0.0,11933.0,576,0,30.0,13,1,11.7,0.7822916666666667,Inactive,SmartMoney_NetworkAnalysis_90d_e1.csv
